GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
0000RINGMUS00-NAT00Z03NSU;Ringmus op takken en grond
488A_4_GAAIEK-NAT00Z013HF;Gaai en ekster
0000HALSBANDP-NAT00Z03NQ8;Halsbandparkiet
VONDELMEERKOE-NAT00Z04Y2S;Meerkoetnest met jongen in het Vondelpark
GOUDVINKJONG_-NAT00Z056BQ;Jonge goudvinken badderen
GOUDVINKFOERA-NAT00Z056GV;Goudvinken eten van knoppen
258A_3_WILZWA-NAT00Z00VR2;Wilde zwanenpaar met groot jong
EF07029_4_MEW-NAT00Z01NTQ;Zilvermeeuw en kokmeeuw eten dode vis
070201_6_HUMU-NAT00Z02H2K;Mannetjes en vrouwtjes huismussen tjilpen
0000CASARCA00-NAT00Z03NOT;Casarca
0004TURELUUR0-NAT00Z03O1T;Baltsende tureluurs
MEERKOETVECHT-NAT00Z056HS;Meerkoeten vechten
0357_3_BUIZER-NAT00Z00TRD;Jagende buizerd
436A_3_JONGER-NAT00Z013AZ;Jonge boomvalken
00000012TEXEL-NAT00Z02Y8J;Duingebied Grote Vlak
0001BONTEVLIE-NAT00Z03NVE;Bonte vliegenvanger in nestkast
0000GRAUWGANS-NAT00Z03NPN;Alerte grauwe ganzen
0000BOKJE0000-NAT00Z03NOA;Bokje in het riet
0000OOIEVAAR0-NAT00Z03NSE;Ooievaar op nest
0000WITKWIKST-NAT00Z03NUK;Poetsende man en jong witte kwikstaart
KRAKEENDFOERA-NAT00Z056HN;Krakeend foeragerend
30A_2_BOOMKLE-NAT00Z00U9T;Boomklever brengt voedsel voor jongen
000028_2_KLST-NAT00Z02GZ5;Kleine strandloper op bevroren sloot
0001BOKJE0000-NAT00Z03NVB;Bokje foeragerend in kwelsloot
0000KOPERWIEK-NAT00Z03NRG;Koperwiek in bessenstruik
